30-11-2018 20:25:15:515 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 89] TSAE session
30-11-2018 20:25:15:680 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 90] TSAE session
30-11-2018 20:25:34:863 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 91] TSAE session
30-11-2018 20:25:34:902 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 92] TSAE session
30-11-2018 20:25:34:926 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 93] TSAE session
30-11-2018 20:25:35:142 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 94] TSAE session
30-11-2018 20:25:35:273 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 95] TSAE session
30-11-2018 20:25:35:318 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 96] TSAE session
30-11-2018 20:25:35:619 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 97] TSAE session
30-11-2018 20:25:35:660 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 98] TSAE session
30-11-2018 20:25:35:690 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 99] TSAE session
30-11-2018 20:25:54:859 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 100] TSAE session
30-11-2018 20:25:54:898 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 101] TSAE session
30-11-2018 20:25:54:923 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 102] TSAE session
30-11-2018 20:25:55:095 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 103] TSAE session
30-11-2018 20:25:55:255 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 104] TSAE session
30-11-2018 20:25:55:450 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 105] TSAE session
30-11-2018 20:25:55:603 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 106] TSAE session
30-11-2018 20:25:55:637 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 107] TSAE session
30-11-2018 20:25:55:870 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 108] TSAE session
30-11-2018 20:26:14:863 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 109] TSAE session
30-11-2018 20:26:14:867 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 110] TSAE session
30-11-2018 20:26:14:915 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 111] TSAE session
30-11-2018 20:26:15:088 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 112] TSAE session
30-11-2018 20:26:15:121 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 113] TSAE session
30-11-2018 20:26:15:362 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 114] TSAE session
30-11-2018 20:26:15:458 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 115] TSAE session
30-11-2018 20:26:15:604 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 116] TSAE session
30-11-2018 20:26:15:653 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 117] TSAE session
30-11-2018 20:26:34:861 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 118] TSAE session
