01-12-2018 00:45:49:582 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 101] TSAE session
01-12-2018 00:45:49:823 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 102] TSAE session
01-12-2018 00:45:49:825 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 103] TSAE session
01-12-2018 00:45:50:186 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 104] TSAE session
01-12-2018 00:45:50:196 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 105] TSAE session
01-12-2018 00:45:50:395 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 106] TSAE session
01-12-2018 00:45:50:675 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 107] TSAE session
01-12-2018 00:45:50:910 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 108] TSAE session
01-12-2018 00:45:51:127 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 109] TSAE session
01-12-2018 00:45:51:492 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 110] TSAE session
01-12-2018 00:45:51:498 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 111] TSAE session
01-12-2018 00:45:51:629 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 112] TSAE session
01-12-2018 00:46:09:334 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 113] TSAE session
01-12-2018 00:46:09:641 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 114] TSAE session
01-12-2018 00:46:09:645 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 115] TSAE session
01-12-2018 00:46:09:958 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 116] TSAE session
01-12-2018 00:46:10:248 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 117] TSAE session
01-12-2018 00:46:10:260 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 118] TSAE session
01-12-2018 00:46:10:518 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 119] TSAE session
01-12-2018 00:46:10:881 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 120] TSAE session
01-12-2018 00:46:11:128 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 121] TSAE session
01-12-2018 00:46:11:130 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 122] TSAE session
01-12-2018 00:46:11:401 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 123] TSAE session
01-12-2018 00:46:11:462 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 124] TSAE session
01-12-2018 00:46:11:833 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 125] TSAE session
01-12-2018 00:46:11:847 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 126] TSAE session
01-12-2018 00:46:18:691 groupXX@192.168.1.141:35011 [INFO] : [groupXX@192.168.1.141:35011] ADD recipe: tgfgjqhd
01-12-2018 00:46:29:323 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 127] TSAE session
01-12-2018 00:46:29:325 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 128] TSAE session
