01-12-2018 00:45:50:478 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 103] TSAE session
01-12-2018 00:45:50:484 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 104] TSAE session
01-12-2018 00:45:50:717 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 105] TSAE session
01-12-2018 00:45:50:740 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 106] TSAE session
01-12-2018 00:45:50:748 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 107] TSAE session
01-12-2018 00:45:51:006 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 108] TSAE session
01-12-2018 00:45:51:092 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 109] TSAE session
01-12-2018 00:45:51:351 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 110] TSAE session
01-12-2018 00:45:51:353 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 111] TSAE session
01-12-2018 00:45:51:576 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 112] TSAE session
01-12-2018 00:46:09:483 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 113] TSAE session
01-12-2018 00:46:09:827 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 114] TSAE session
01-12-2018 00:46:10:161 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 115] TSAE session
01-12-2018 00:46:10:448 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 116] TSAE session
01-12-2018 00:46:10:469 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 117] TSAE session
01-12-2018 00:46:10:472 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 118] TSAE session
01-12-2018 00:46:10:810 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 119] TSAE session
01-12-2018 00:46:10:829 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 120] TSAE session
01-12-2018 00:46:11:031 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 121] TSAE session
01-12-2018 00:46:11:332 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 122] TSAE session
01-12-2018 00:46:11:648 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 123] TSAE session
01-12-2018 00:46:11:657 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 124] TSAE session
01-12-2018 00:46:11:922 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 125] TSAE session
01-12-2018 00:46:12:115 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 126] TSAE session
01-12-2018 00:46:13:804 groupXX@192.168.1.141:35005 [INFO] : [groupXX@192.168.1.141:35005] ADD recipe: dfyscfnr
01-12-2018 00:46:29:481 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 127] TSAE session
01-12-2018 00:46:29:648 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 128] TSAE session
01-12-2018 00:46:29:673 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 129] TSAE session
01-12-2018 00:46:29:863 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 130] TSAE session
01-12-2018 00:46:30:128 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 131] TSAE session
